,X value,Y value,Tijd,Z-value,Z-return,Z-return-%
0,2012-07-05 00:00:00+00:00,0.6041666666278616,2012-07-05 14:30:00+00:00,1.25077,0.0,-1.8244761227083988
1,2012-07-09 00:00:00+00:00,0.9895833333721384,2012-07-09 23:45:00+00:00,1.22795,-0.018413249380459476,0.26466875687120606
2,2012-07-17 00:00:00+00:00,0.6979166666278616,2012-07-17 16:45:00+00:00,1.2312,0.0026431912589033432,-1.0883690708252176
3,2012-07-17 00:00:00+00:00,0.9895833333721384,2012-07-17 23:45:00+00:00,1.2178,-0.010943351350195779,0.8318278863524365
4,2012-07-25 00:00:00+00:00,0.53125,2012-07-25 12:45:00+00:00,1.22793,0.008283872650537594,-0.25001425162671376
5,2012-08-02 00:00:00+00:00,0.11458333337213844,2012-08-02 02:45:00+00:00,1.22486,-0.0025032730915795424,0.36820534591708554
6,2012-08-02 00:00:00+00:00,0.6354166666278616,2012-08-02 15:15:00+00:00,1.22937,0.003675291294351059,-1.9082944923009375
7,2012-08-02 00:00:00+00:00,0.71875,2012-08-02 17:15:00+00:00,1.20591,-0.019267374391046813,0.6219369604696919
8,2012-08-06 00:00:00+00:00,0.11458333337213844,2012-08-06 02:45:00+00:00,1.21341,0.006200109142924804,-0.08488474629351055
9,2012-08-10 00:00:00+00:00,0.7395833333721384,2012-08-10 17:45:00+00:00,1.21238,-0.0008492079379494236,0.9427737178112514
10,2012-08-14 00:00:00+00:00,0.6354166666278616,2012-08-14 15:15:00+00:00,1.22381,0.00938357342315923,0.20591431676484548
11,2012-08-14 00:00:00+00:00,0.71875,2012-08-14 17:15:00+00:00,1.22633,0.002057026038172966,0.5838558952321199
12,2012-08-22 00:00:00+00:00,0.40625,2012-08-22 09:45:00+00:00,1.23349,0.0058215806209395305,-1.1941726321251012
13,2012-08-30 00:00:00+00:00,0.7083333333721384,2012-08-30 17:00:00+00:00,1.21876,-0.012013601517383262,0.14194755325084588
14,2012-09-07 00:00:00+00:00,0.9895833333721384,2012-09-07 23:45:00+00:00,1.22049,0.0014184690294732178,-0.20893247793919262
15,2012-09-11 00:00:00+00:00,0.42708333337213844,2012-09-11 10:15:00+00:00,1.21794,-0.002091510463341912,2.028014516314428
16,2012-09-19 00:00:00+00:00,0.47916666662786156,2012-09-19 11:30:00+00:00,1.24264,0.02007724170692025,-1.0807635356981953
17,2012-09-19 00:00:00+00:00,0.9895833333721384,2012-09-19 23:45:00+00:00,1.22921,-0.01086646208381411,0.17246849602591274
18,2012-09-27 00:00:00+00:00,0.9895833333721384,2012-09-27 23:45:00+00:00,1.23133,0.0017231993989913494,-0.2135901829728937
19,2012-10-05 00:00:00+00:00,0.90625,2012-10-05 21:45:00+00:00,1.2287,-0.0021381861213033253,0.5387808252624783
20,2012-10-17 00:00:00+00:00,0.9895833333721384,2012-10-17 23:45:00+00:00,1.23532,0.005373345937272846,-0.16594890392771794
21,2012-11-02 00:00:00+00:00,0.30208333337213844,2012-11-02 07:15:00+00:00,1.23327,-0.001660867516469172,-0.0024325573475554043
22,2012-11-06 00:00:00+00:00,0.9895833333721384,2012-11-06 23:45:00+00:00,1.23324,-2.4325869347097174e-05,-0.09162855567447159
23,2012-12-04 00:00:00+00:00,0.9895833333721384,2012-12-04 23:45:00+00:00,1.23211,-0.0009167056029632627,1.1533061171486356
24,2012-12-20 00:00:00+00:00,0.6979166666278616,2012-12-20 16:45:00+00:00,1.24632,0.011467062382154562,-0.0938763720392929
25,2012-12-28 00:00:00+00:00,0.41666666662786156,2012-12-28 10:00:00+00:00,1.24515,-0.0009392046350189852,0.8336345018672494
26,2013-01-09 00:00:00+00:00,0.8229166666278616,2013-01-09 19:45:00+00:00,1.25553,0.008301789605612236,-0.39744171784027854
27,2013-01-17 00:00:00+00:00,0.38541666662786156,2013-01-17 09:15:00+00:00,1.25054,-0.003982336163554599,2.474131175332254
28,2013-01-17 00:00:00+00:00,0.6354166666278616,2013-01-17 15:15:00+00:00,1.28148,0.024440201960242228,-0.3886131660267803
29,2013-01-25 00:00:00+00:00,0.5520833333721384,2013-01-25 13:15:00+00:00,1.2765,-0.0038937022899156624,0.3721112416764616
30,2013-02-06 00:00:00+00:00,0.3125,2013-02-06 07:30:00+00:00,1.28125,0.00371420620517985,-0.17951219512194877
31,2013-02-06 00:00:00+00:00,0.8125,2013-02-06 19:30:00+00:00,1.27895,-0.0017967351134670375,2.0821767856444686
32,2013-02-18 00:00:00+00:00,0.6770833333721384,2013-02-18 16:15:00+00:00,1.30558,0.020607957691808895,-0.2688460301168754
33,2013-02-26 00:00:00+00:00,0.22916666662786156,2013-02-26 05:30:00+00:00,1.30207,-0.0026920807008873624,0.20582610765934364
34,2013-02-26 00:00:00+00:00,0.48958333337213844,2013-02-26 11:45:00+00:00,1.30475,0.00205614575934976,-1.2094270933129048
35,2013-02-26 00:00:00+00:00,0.6979166666278616,2013-02-26 16:45:00+00:00,1.28897,-0.012168001710877846,0.1722305406642599
36,2013-03-14 00:00:00+00:00,0.8020833333721384,2013-03-14 19:15:00+00:00,1.29119,0.0017208239394678017,-0.123916697000445
37,2013-03-18 00:00:00+00:00,0.5,2013-03-18 12:00:00+00:00,1.28959,-0.001239935372245633,1.049946106902185
38,2013-03-18 00:00:00+00:00,0.875,2013-03-18 21:00:00+00:00,1.30313,0.010444724530393842,-1.1288206088417887
39,2013-03-18 00:00:00+00:00,0.9895833333721384,2013-03-18 23:45:00+00:00,1.28842,-0.011352401444236737,1.8169540988187203
40,2013-03-22 00:00:00+00:00,0.7395833333721384,2013-03-22 17:45:00+00:00,1.31183,0.018006447471950165,-1.648079400532079
41,2013-03-26 00:00:00+00:00,0.9895833333721384,2013-03-26 23:45:00+00:00,1.29021,-0.01661811313354965,0.19686717666116266
42,2013-04-15 00:00:00+00:00,0.21875,2013-04-15 05:15:00+00:00,1.29275,0.001966736471906417,-1.0945658479984612
43,2013-04-19 00:00:00+00:00,0.625,2013-04-19 15:00:00+00:00,1.2786,-0.011006002943704508,0.21351478179259514
44,2013-04-19 00:00:00+00:00,0.7083333333721384,2013-04-19 17:00:00+00:00,1.28133,0.002132871629247393,-0.6906885813958952
45,2013-05-01 00:00:00+00:00,0.65625,2013-05-01 15:45:00+00:00,1.27248,-0.006930848753048703,2.889632842952343
46,2013-05-21 00:00:00+00:00,0.45833333337213844,2013-05-21 11:00:00+00:00,1.30925,0.028486701950771902,-0.42237922474699524
47,2013-05-21 00:00:00+00:00,0.9895833333721384,2013-05-21 23:45:00+00:00,1.30372,-0.0042327376558620395,1.8125057527690027
48,2013-05-29 00:00:00+00:00,0.7395833333721384,2013-05-29 17:45:00+00:00,1.32735,0.017962756877733962,-0.6561946735977696
49,2013-06-06 00:00:00+00:00,0.8125,2013-06-06 19:30:00+00:00,1.31864,-0.006583570958368304,0.45956439968452
50,2013-06-18 00:00:00+00:00,0.6354166666278616,2013-06-18 15:15:00+00:00,1.3247,0.004585116267115192,-1.4675020759417152
51,2013-06-18 00:00:00+00:00,0.8125,2013-06-18 19:30:00+00:00,1.30526,-0.014783764061348088,0.1187502872990776
52,2013-07-12 00:00:00+00:00,0.4375,2013-07-12 10:30:00+00:00,1.30681,0.0011867983491484046,-0.04208722002433793
53,2013-07-12 00:00:00+00:00,0.8229166666278616,2013-07-12 19:45:00+00:00,1.30626,-0.0004209607918058299,1.8373065086583085
54,2013-07-16 00:00:00+00:00,0.65625,2013-07-16 15:45:00+00:00,1.33026,0.01820631964596332,0.04134530091862121
55,2013-08-01 00:00:00+00:00,0.39583333337213844,2013-08-01 09:30:00+00:00,1.33081,0.00041336756104247413,0.4839158106716963
56,2013-08-01 00:00:00+00:00,0.6979166666278616,2013-08-01 16:45:00+00:00,1.33725,0.004827487018143225,-0.4606468498784777
57,2013-08-05 00:00:00+00:00,0.46875,2013-08-05 11:15:00+00:00,1.33109,-0.004617110970183019,1.040500642330715
58,2013-08-09 00:00:00+00:00,0.9895833333721384,2013-08-09 23:45:00+00:00,1.34494,0.01035124693429485,0.30335925766205807
59,2013-08-21 00:00:00+00:00,0.9166666666278616,2013-08-21 22:00:00+00:00,1.34902,0.003029000519270154,0.6374998146802819
60,2013-09-26 00:00:00+00:00,0.48958333337213844,2013-09-26 11:45:00+00:00,1.35762,0.006354763796549925,-0.5826372622677983
61,2013-10-04 00:00:00+00:00,0.78125,2013-10-04 18:45:00+00:00,1.34971,-0.005843412149638142,0.24079246652984532
62,2013-10-08 00:00:00+00:00,0.9895833333721384,2013-10-08 23:45:00+00:00,1.35296,0.0024050302601101234,-1.4316757332071819
63,2013-10-24 00:00:00+00:00,0.41666666662786156,2013-10-24 10:00:00+00:00,1.33359,-0.014420230893592945,0.16196882100195262
64,2013-10-28 00:00:00+00:00,0.9895833333721384,2013-10-28 23:45:00+00:00,1.33575,0.001618377929710195,-2.1860378064757544
65,2013-11-05 00:00:00+00:00,0.6354166666278616,2013-11-05 15:15:00+00:00,1.30655,-0.022102856421974546,0.11021392216140874
66,2013-11-13 00:00:00+00:00,0.9895833333721384,2013-11-13 23:45:00+00:00,1.30799,0.0011015323120738697,-0.02599408252356723
67,2013-11-21 00:00:00+00:00,0.7083333333721384,2013-11-21 17:00:00+00:00,1.30765,-0.00025997461570784826,0.2967154819714836
68,2013-11-29 00:00:00+00:00,0.8125,2013-11-29 19:30:00+00:00,1.31153,0.0029627615041389194,-0.3179492653618298
69,2013-12-11 00:00:00+00:00,0.7083333333721384,2013-12-11 17:00:00+00:00,1.30736,-0.0031845579800138177,0.24859258352710614
70,2013-12-27 00:00:00+00:00,0.6145833333721384,2013-12-27 14:45:00+00:00,1.31061,0.0024828410329771917,-0.8202287484453832
71,2013-12-31 00:00:00+00:00,0.8645833333721384,2013-12-31 20:45:00+00:00,1.29986,-0.008236111326671784,0.22310094933299762
72,2014-01-16 00:00:00+00:00,0.7083333333721384,2014-01-16 17:00:00+00:00,1.30276,0.0022285244870124434,-0.8174951641131004
73,2014-01-24 00:00:00+00:00,0.59375,2014-01-24 14:15:00+00:00,1.29211,-0.008208549792428754,0.2902229686326953
74,2014-01-28 00:00:00+00:00,0.9895833333721384,2014-01-28 23:45:00+00:00,1.29586,0.002898026348488293,-0.189063633417195
75,2014-02-21 00:00:00+00:00,0.7395833333721384,2014-02-21 17:45:00+00:00,1.29341,-0.0018924258429419412,0.1182919569200819
76,2014-03-13 00:00:00+00:00,0.7708333333721384,2014-03-13 18:30:00+00:00,1.29494,0.0011822204711107644,-0.15444731030009126
77,2014-03-17 00:00:00+00:00,0.9895833333721384,2014-03-17 23:45:00+00:00,1.29294,-0.0015456670310687003,0.21656070660664176
78,2014-03-25 00:00:00+00:00,0.6041666666278616,2014-03-25 14:30:00+00:00,1.29574,0.0021632655190553223,-0.07177365829563612
79,2014-03-25 00:00:00+00:00,0.9895833333721384,2014-03-25 23:45:00+00:00,1.29481,-0.0007179942791703425,0.35989836346644577
80,2014-04-10 00:00:00+00:00,0.9895833333721384,2014-04-10 23:45:00+00:00,1.29947,0.0035925227900721096,-1.1358476917512437
81,2014-05-08 00:00:00+00:00,0.6458333333721384,2014-05-08 15:30:00+00:00,1.28471,-0.011423477087138045,0.062270862684957067
82,2014-06-09 00:00:00+00:00,0.9895833333721384,2014-06-09 23:45:00+00:00,1.28551,0.0006225148242834139,-0.055230997814096225
83,2014-06-17 00:00:00+00:00,0.6354166666278616,2014-06-17 15:15:00+00:00,1.2848,-0.0005524625574802215,1.9567247820672606
84,2014-07-03 00:00:00+00:00,0.6354166666278616,2014-07-03 15:15:00+00:00,1.30994,0.019378270427060553,-0.12366978640244414
85,2014-08-04 00:00:00+00:00,0.9895833333721384,2014-08-04 23:45:00+00:00,1.30832,-0.001237463205890753,0.2453528188822427
86,2014-09-17 00:00:00+00:00,0.8645833333721384,2014-09-17 20:45:00+00:00,1.31153,0.0024505232027442012,-0.23941503434920605
87,2014-09-17 00:00:00+00:00,0.9166666666278616,2014-09-17 22:00:00+00:00,1.30839,-0.0023970209040433585,0.2269965377295867
88,2014-09-25 00:00:00+00:00,0.7291666666278616,2014-09-25 17:30:00+00:00,1.31136,0.0022673928981124993,-0.8883906783797095
89,2014-10-07 00:00:00+00:00,0.48958333337213844,2014-10-07 11:45:00+00:00,1.29971,-0.008923603969286998,1.754237483746386
90,2014-10-07 00:00:00+00:00,0.9375,2014-10-07 22:30:00+00:00,1.32251,0.017390283499346647,-2.941376624751431
91,2014-10-15 00:00:00+00:00,0.6875,2014-10-15 16:30:00+00:00,1.28361,-0.029855025346216205,0.35602714220052706
92,2014-10-15 00:00:00+00:00,0.9895833333721384,2014-10-15 23:45:00+00:00,1.28818,0.0035539486584317574,-0.06210312223448074
93,2014-10-23 00:00:00+00:00,0.6354166666278616,2014-10-23 15:15:00+00:00,1.28738,-0.0006212241421113008,0.24235268529882487
94,2014-10-27 00:00:00+00:00,0.9895833333721384,2014-10-27 23:45:00+00:00,1.2905,0.002420594848024295,0.005424254165053428
95,2014-10-31 00:00:00+00:00,0.44791666662786156,2014-10-31 10:45:00+00:00,1.29057,5.424107057707379e-05,0.4594868933881921
96,2014-10-31 00:00:00+00:00,0.9583333333721384,2014-10-31 23:00:00+00:00,1.2965,0.00458434474947348,-0.20979560354801818
97,2014-11-04 00:00:00+00:00,0.7395833333721384,2014-11-04 17:45:00+00:00,1.29378,-0.002100159828089688,2.5313422683918487
98,2014-11-20 00:00:00+00:00,0.42708333337213844,2014-11-20 10:15:00+00:00,1.32653,0.024998344077950135,-0.48623099364507905
99,2014-11-28 00:00:00+00:00,0.45833333337213844,2014-11-28 11:00:00+00:00,1.32008,-0.004874169424030016,1.3029513362826575
100,2014-12-10 00:00:00+00:00,0.40625,2014-12-10 09:45:00+00:00,1.33728,0.012945359455001216,-0.1151591289782317
101,2014-12-18 00:00:00+00:00,0.46875,2014-12-18 11:15:00+00:00,1.33574,-0.001152254880537533,0.410259481635659
102,2014-12-18 00:00:00+00:00,0.9895833333721384,2014-12-18 23:45:00+00:00,1.34122,0.004094202120964829,-4.046316040619737
103,2015-01-15 00:00:00+00:00,0.5,2015-01-15 12:00:00+00:00,1.28695,-0.0413045696973835,1.4274058821244022
104,2015-01-15 00:00:00+00:00,0.5416666666278616,2015-01-15 13:00:00+00:00,1.30532,0.014173143622932026,-0.032176018141152125
105,2015-01-15 00:00:00+00:00,0.6145833333721384,2015-01-15 14:45:00+00:00,1.3049,-0.00032181195732525496,0.19771630009962657
106,2015-01-15 00:00:00+00:00,0.8541666666278616,2015-01-15 20:30:00+00:00,1.30748,0.0019752109867735004,0.13766940985713158
107,2015-01-23 00:00:00+00:00,0.625,2015-01-23 15:00:00+00:00,1.30928,0.0013757473240970802,0.2734327263839604
108,2015-01-23 00:00:00+00:00,0.6666666666278616,2015-01-23 16:00:00+00:00,1.31286,0.002730595791543337,0.16528799719695972
109,2015-01-23 00:00:00+00:00,0.7291666666278616,2015-01-23 17:30:00+00:00,1.31503,0.0016515154692345404,0.9110058325665651
110,2015-01-23 00:00:00+00:00,0.8229166666278616,2015-01-23 19:45:00+00:00,1.32701,0.009068812058990305,-0.2984152342484204
111,2015-01-27 00:00:00+00:00,0.44791666662786156,2015-01-27 10:45:00+00:00,1.32305,-0.002988613803081887,0.15192169608101322
112,2015-01-27 00:00:00+00:00,0.6979166666278616,2015-01-27 16:45:00+00:00,1.32506,0.001518064118187368,-0.3463994083286698
113,2015-01-27 00:00:00+00:00,0.75,2015-01-27 18:00:00+00:00,1.32047,-0.0034700076020028918,0.6664293774186403
114,2015-02-04 00:00:00+00:00,0.46875,2015-02-04 11:15:00+00:00,1.32927,0.006642185537929815,-0.267063877165658
115,2015-02-04 00:00:00+00:00,0.9270833333721384,2015-02-04 22:15:00+00:00,1.32572,-0.0026742112894014955,0.627583501795242
116,2015-02-12 00:00:00+00:00,0.6458333333721384,2015-02-12 15:30:00+00:00,1.33404,0.00625622397305276,-0.5966837576084651
117,2015-02-16 00:00:00+00:00,0.7708333333721384,2015-02-16 18:30:00+00:00,1.32608,-0.005984710282569714,0.9169884169884299
118,2015-02-20 00:00:00+00:00,0.9166666666278616,2015-02-20 22:00:00+00:00,1.33824,0.009128096049260128,-2.0108500717360105
119,2015-02-24 00:00:00+00:00,0.65625,2015-02-24 15:45:00+00:00,1.31133,-0.02031342846459387,3.0465252834908014
120,2015-03-12 00:00:00+00:00,0.42708333337213844,2015-03-12 10:15:00+00:00,1.35128,0.030010402036469385,0.087324610739444
121,2015-03-12 00:00:00+00:00,0.6145833333721384,2015-03-12 14:45:00+00:00,1.35246,0.0008728650498342107,0.42441181254899063
122,2015-03-12 00:00:00+00:00,0.7083333333721384,2015-03-12 17:00:00+00:00,1.3582,0.004235137257767235,-0.18995729642173662
123,2015-03-16 00:00:00+00:00,0.36458333337213844,2015-03-16 08:45:00+00:00,1.35562,-0.0019013794409927134,0.11950251545417999
124,2015-03-16 00:00:00+00:00,0.6666666666278616,2015-03-16 16:00:00+00:00,1.35724,0.0011943116803383566,-0.2917685891957181
125,2015-03-20 00:00:00+00:00,0.15625,2015-03-20 03:45:00+00:00,1.35328,-0.002921950634912916,2.0239713880349983
126,2015-03-20 00:00:00+00:00,0.6354166666278616,2015-03-20 15:15:00+00:00,1.38067,0.02003761329299398,-0.12457719802705684
127,2015-03-20 00:00:00+00:00,0.6666666666278616,2015-03-20 16:00:00+00:00,1.37895,-0.0012465485992443938,-0.02973276768554331
128,2015-03-20 00:00:00+00:00,0.8229166666278616,2015-03-20 19:45:00+00:00,1.37854,-0.0002973718874927123,-2.173313795754944
129,2015-03-24 00:00:00+00:00,0.125,2015-03-24 03:00:00+00:00,1.34858,-0.02197278109414296,0.04004211837638161
130,2015-03-24 00:00:00+00:00,0.46875,2015-03-24 11:15:00+00:00,1.34912,0.000400341036595987,-0.46030004743833375
131,2015-03-24 00:00:00+00:00,0.6041666666278616,2015-03-24 14:30:00+00:00,1.34291,-0.004613626902575317,0.42296207489704496
132,2015-04-01 00:00:00+00:00,0.6770833333721384,2015-04-01 16:15:00+00:00,1.34859,0.0042207010455936455,-0.6310294455690771
133,2015-04-01 00:00:00+00:00,0.7291666666278616,2015-04-01 17:30:00+00:00,1.34008,-0.006330288520420638,0.5037012715658792
134,2015-04-09 00:00:00+00:00,0.125,2015-04-09 03:00:00+00:00,1.34683,0.00502436940567857,0.09355300965972238
